Сильный холод.|стужа
Заплечный вещевой мешок.|рюкзак
Заплечная сумка или сумочка как принадлежность дамского туалета.|рюкзак
Дерево или высокий кустарник семейства розоцветных с собранными в пучок обычно оранжево-красными ягодами.|рябина
Небольшое углубление, щербинка на гладкой поверхности кожи человека.|рябина
Пятнышко иного цвета.|рябина
Болезнь табака и махорки, выражающаяся в образовании на листьях многочисленных бледно-желтых пятен, приводящих к появлению дырок на листьях.|рябуха
Лесная птица семейства тетеревиных с пестрым оперением.|рябчик
Род травянистых растений семейства лилейных с цветками разнообразной окраски (обычно с пестрым рисунком).|рябчик
Италийские племена, обитавшие между реками Тибр, Атериус и Анио и сыгравшие важную роль в образовании римской народности.|сабины
Половое извращение, при котором удовлетворение достигается при условии причинения партнеру физической боли.|садизм
Страсть к жестокостям.|садизм
Группа маток с ягнятами одинакового возраста.|сакман
Название японского вишневого дерева.|сакура
Мелкая морская промысловая рыба, разновидность сельди, обитающая в Балтийском море.|салака
Рама из брусьев, служащая для соединения стеньги с ее продолжением в высоту и крепления снастей.|салинг
Растение семейства жимолостных; бузина.|самбук
Сладкое холодное блюдо, приготовленное путем взбивания фруктового пюре с сахаром и яичным желтком.|самбук
Встреча и переговоры глав государств, правительств.|саммит
Южное вечнозеленое дерево или кустарник с очень твердой, плотной и тяжелой древесиной, идущей на различные поделки.|самшит
Санитарный батальон.|санбат
Вечнозеленое тропическое дерево с сильно ароматической, богатой эфирными маслами древесиной.|сандал
Краситель, извлекаемый из древесины разных деревьев (обычно - из так называемых красных) при помощи спирта или эфира.|сандал
Небольшое судно, распространенное среди тюркских народов Причерноморья.|сандал
Приспособление для обогревания жилища, широко распространенное в прошлом среди народов Востока.|сандал
Изменения в группе фонем на стыке сочетания морфем (в лингвистике).|сандхи
Мелкая монета, равная одной сотой франка (во Франции, Бельгии, Люксембурге и Швейцарии).|сантим
Род обуви с обычно высокими голенищами.|сапоги
Птица отряда хищных; сокол.|сапсан
Драгоценный камень синего или голубого цвета, разновидность корунда.|сапфир
Луковичное растение семейства лилейных; лилия.|сарана
Князь тьмы, властелин ада, злой дух, противополагаемый Богу; Дьявол (в религии и теософии).|сатана
Произведение, осмеивающее порок, недостаток (в литературе классицизма).|сатира
Произведение искусства, в котором резко, шаржированно изображаются, обличаются отрицательные явления действительности.|сатира
Злая насмешка, резкое обличение.|сатира
Правитель области, провинции в древней Персии и ряде других древних восточных государств.|сатрап
Одна из девяти - шестая от Солнца - больших планет Солнечной системы.|сатурн
Бог посевов, покровитель земледелия (в древнеримской мифологии).|сатурн
Масличное и красильное растение семейства сложноцветных.|сафлор
Тонкая мягкая окрашенная кожа, выделываемая обычно из козьих или овечьих шкур.|сафьян
Горизонтальная или наклонная выработка, соединяющая две другие выработки (в горном деле).|сбойка
Соединение двух встречных выработок при проходке их.|сбойка
Мелкие мягкие складки на материи, одежде.|сборки
Русская народная игра, состоящая в метании большого толстого гвоздя в лежащее на земле кольцо.|свайка
Заостренный стержень, служащий для раздвигания прядей троса и других работ (в такелажном деле).|свайка
Инструмент в виде кривого шила для плетения лаптей.|свайка
Бревно, заостренное с одного конца, служащее рычагом при снятии судна с мели (в речном флоте).|свайка
Место, куда свозят, сбрасывают негодные, ненужные вещи, мусор, нечистоты.|свалка
Беспорядочно накиданная груда.|свалка
Соединение металлических частей в процессе плавления.|сварка
Мать или родственница одного из супругов по отношению к родителям или родственникам другого супруга.|сватья
Последний перед печатанием корректурный оттиск в листах.|сверка
Режущий инструмент, вращением которого делают круглые отверстия в различных материалах.|сверло
местн. То же, что: светильник.|светец
Растение, корнеплоды которого употребляются в пищу, идут на корм скоту или на изготовление сахара.|свекла
Отец мужа.|свекор
Название детского инфекционного заболевания, проявляющегося в воспалении околоушной железы; паротит.|свинка
Слиток металла в виде продолговатого бруска.|свинка
Парнокопытное млекопитающее, домашний вид которого разводят для получения мяса, сала, щетины, шкуры.|свинья
Вязаная фуфайка без застежки с высоким воротником, плотно обтягивающая торс и шею.|свитер
Старинная рукопись, свернутая в трубку.|свиток
Узкая полоса бумаги или пергамента, свернутая в трубку.|свиток
Объединенные, сведенные вместе данные, сведения.|сводка
Несколько однородных предметов, связанных вместе.|связка
Плотное образование из соединительной ткани, скрепляющее отдельные части скелета или соединяющее отдельные органы.|связка
Часть суждения, соединяющая субъект с предикатом (в логике).|связка
Положение, при котором одна фигура защищает другую (в шахматной игре).|связка
Соломенный жгут для связывания снопов.|свясло
Дни, связанные с празднованием православными Рождества и Крещения и сопровождающиеся гаданием, пением колядок, переодеванием и т.п.|святки
Церковная книга, содержащая перечень церковных праздников и святых по дням их поминовения.|святцы
Тайное соглашение; заговор.|сговор
Взаимная договоренность, взаимное соглашение.|сговор
Седые волосы.|седина
Седые волосы.|седины
Шнур с петлей на одном конце для закрепления скатанного паруса и других предметов на судне.|сезень
Морское моторное рыболовное судно.|сейнер
Тригонометрическая функция угла, в прямоугольном треугольнике равная отношению гипотенузы к катету, прилежащему к данному углу.|секанс
Старинное холодное оружие - большой топор с лезвием полулунной формы.|секира
Дополнительный сторожевой пост, скрытно выставляемый сторожевой заставой на наиболее опасных подступах со стороны противника, а также место его расположения.|секрет
Вещество, выделяемое различными железами животных организмов.|секрет
Шестая ступень диатонической гаммы (в музыке).|секста
Интервал шириной в шесть ступеней.|секста
Часть круга, ограниченная дугой и двумя радиусами (в математике).|сектор
Участок, ограниченный радиальными линиями.|сектор
Часть площади; участок, район.|сектор
Составная часть.|сектор
Один из участков, частей, составляющих целое.|секция
Отдел учреждения, организации, общества и т.п.|секция
Часть торгового помещения, где находятся однородные предметы.|секция
Вскрытие, рассечение (трупа).|секция
Богиня Луны (в древнегреческой мифологии).|селена
Влажные экваториальные тропические леса в Бразилии.|сельва
Небольшая морская рыба семейства сельдевых, употребляемая в пищу обычно в соленом и копченом виде.|сельдь
Группа близких по языку народов, населяющих или населявших Северную и Восточную Африку и Юго-Западную Азию (к которой относятся древние вавилоняне, ассирийцы, финикийцы, иудеи и т.п., а также современные арабы, сирийцы, евреи, эфиопы).|семиты
Жучок, повреждающий семена (растений).|семяед
Мешок, матрац, набиваемый сеном или соломой.|сенник
Сеновал.|сенник
Землевладелец, обладавший властью государя на своей территории (в средние века в Западной Европе).|сеньор
Общее заражение крови гнилостными и гноеродными микробами и их токсинами.|сепсис
Музыкальное произведение для семи исполнителей с особой партией для каждого.|септет
Ансамбль из семи исполнителей.|септет
Бассейн в канализационной сети для очистки сточных вод.|септик
Дворец и его внутренние покои (в странах Востока).|сераль
Женская половина во дворце, гарем.|сераль
Форма крепостной зависимости крестьянства (сервов) в средневековой Западной Европе.|серваж
Полный набор столовой или чайной посуды, рассчитанный на определенное количество человек.|сервиз
Оказание услуг, удовлетворение бытовых потребностей населения.|сервис
Главнокомандующий войсками (в некоторых мусульманских странах Востока).|сердар
Глава племени, влиятельный сановник (в Индии и Афганистане).|сердар
Центральный орган кровеносной системы в виде мускульного мешка, располагающийся в левой стороне груди человека.|сердце
Казак пеших казачьих полков, состоявших на жалованье (в старину на Украине).|сердюк
Кино- или телефильм, состоящий из некоторого - обычно большого - числа серий.|сериал
Травянистое растение семейства сложноцветных, используемое для получения желтой и зеленой краски.|серпий
Украшение в виде кольца, подвески и т.п., продеваемое в мочку уха.|серьга
Приспособление для подвешивания или соединения различных предметов (в технике).|серьга
Заседания представительного органа или коллегиального учреждения, происходящие периодически.|сессия
Экзамены в высших и средних учебных заведениях.|сессия
Дочь одних и тех же родителей по отношению к другим их детям.|сестра
Лицо среднего медицинского персонала в лечебных учреждениях.|сестра
Монахиня.|сестра
Порода охотничьих легавых собак.|сеттер
Сельскохозяйственная машина для посева семян и внесения в почву удобрений.|сеялка
местн. Лукошко с зерном для ручного сева.|сеялка
Растение, выросшее из семян (в отличие от саженца).|сеянец
Коренное население Сиама (официальное название Таиланда: до 1939 г. и в 1945-1948 гг.).|сиамцы
Плотно свернутые в овальную трубочку табачные листья, употребляемые для курения.|сигара
Условный знак для передачи сведений, распоряжений и т.п.|сигнал
Передаваемый импульс или группа импульсов электромагнитной энергии (в технике).|сигнал
Кристаллическая горная порода зернистого строения, применяемая как строительный материал.|сиенит
Гора, горный хребет (в Испании, Южной Америке и некоторых других странах).|сиерра
Полуденный, послеобеденный отдых (в Испании, Италии, Латинской Америке и некоторых других странах).|сиеста
Самое жаркое время дня.|сиеста
Жесткое, грубое натуральное волокно, получаемое из листьев агавы и используемое для изготовления канатов, сетей, щеток и т.п.|сизаль
Одноцветное контурное изображение на фоне другого цвета.|силуэт
Внешнее очертание контур.|силуэт
Яркий синий цвет.|синева
Небесный свод, ясное, синее небо.|синева
Болезнь древесины, вызывающая ее потемнение и гниение.|синева
Бархатистый ворсистый шнурок для вышивания, украшения женской одежды, головных уборов и т.п.|синель
Певчая птичка отряда воробьиных с пестрым оперением.|синица
Метод научного исследования явлений действительности в их единстве и целостности, во взаимодействии их частей.|синтез
Получение сложного химического вещества путем соединения более простых веществ или элементов.|синтез
Птица рода турпанов семейства утиных.|синьга
Минеральная синяя краска, применяемая для подсинивания тканей, бумаги и т.п., а также для подсинивания белья при стирке.|синька
Слепая кишка быка или коровы, употребляемая в пищевой промышленности для изготовления колбас и некоторых других изделий.|синюга
Травянистое растение с перистыми листьями и голубыми цветками, используемое в медицине и технике.|синюха
Сиплые звуки, издаваемые.|сипота
Полуптица-полуженщина, своим пением завлекавшая моряков в опасные, гибельные места (в древнегреческой мифологии).|сирена
Прибор для воспроизведения тонов различной высоты и измерения числа колебаний звучащего тела.|сирена
Аппарат для подачи мощных звуковых сигналов.|сирена
Семейство хвостатых земноводных с длинным змеевидным телом, сохраняющие в течение всей жизни наружные жабры.|сирены
Отряд растительноядных водных млекопитающих, представители которых в настоящее время встречаются очень редко.|сирены
Кустарник или дерево семейства маслинных с душистыми лиловыми или белыми цветками, собранными в грозди.|сирень
Самая яркая из звезд.|сириус
Ровный, обычно яркий свет, излучаемый.|сияние
Яркий лучистый круг, ореол вокруг.|сияние
Блеск, сверкание от отраженного света, лучей.|сияние
Повествовательное произведение устного народного творчества о вымышленных лицах и событиях.|сказка
Лошадь, отличающаяся высокими беговыми качествами.|скакун
Быстро скачущий на лошади человек.|скакун
Жук, имеющий яркую окраску с металлическим отливом, перелетающий как бы скачками.|скакун
Деревянный валик, употребляемый для раскатывания теста или разглаживания белья путем катания.|скалка
Древнескандинавский поэт-певец.|скальд
Кожа с волосами, снятая с головы побежденного врага как военный трофей (у некоторых племен).|скальп
Величина, в противоположность вектору, определяемая числовым значением без указания направления.|скаляр
Считывающее устройство в информационно-вычислительной системе (в информатике).|сканер
Прибор для радиоизотопной диагностики (в биологии).|сканер
предмет, скатанный в трубку.|скатка
Шинель, свернутая особым образом в трубку и связанная в концах для ношения через плечо.|скатка
Продукт гниения белков, содержащийся в кале и придающий ему характерный запах.|скатол
Быстрый бег лошади.|скачка
Состязания верховых лошадей.|скачки
Прыжок.|скачок
Резкое, внезапное изменение.|скачок
Титул, присоединяемый к фамилии земельного собственника (в Англии).|сквайр
Совокупность костей, образующих твердую основу тела позвоночных животных и человека.|скелет
Совокупность плотных опорных образований у беспозвоночных.|скелет
Твердая основа растения.|скелет
Остов, каркас.|скелет
Однолетнее или многолетнее травянистое растение с желтыми цветками, собранными в соцветия.|скерда
Походный переносный храм, который - по библейскому сказанию - был у древних евреев до постройки храма в Иерусалиме.|скиния
Наружная плотная белковая оболочка глаза, в передней части переходящая в роговицу.|склера
Ссора, враждебные отношения на почве мелких интриг, борьбы личных интересов.|склока
Особый вид стрижки, при которой волосы ровно подрезаются вокруг всей головы и лба.|скобка
Письменные или печатные знаки (обычно парные), служащие для обособления части текста, а в математике - для обозначения порядка выполнения действий.|скобки
Место, где сковано.|сковка
Отколовшийся или отколотый кусок.|сколок
Узор, снятый с подлинника путем накалывания.|сколок
Члены религиозной секты, возникшей в Российском государстве в конце ХIХ в. в результате отделения от хлыстов и проповедовавшей "спасение души" в борьбе с плотью путем оскопления, отказа от мирской жизни.|скопцы
Глубокая печаль; горесть.|скорбь
Приспособление, предназначенное для скрепления отдельных предметов, частей механизма, сооружения.|скрепа
Закупка для перепродажи.|скупка
Одноместное спортивное скользящее судно с подвесным мотором.|скутер
Остроконечная бархатная черная или мягкая фиолетовая шапочка, которую носят представители православного духовенства.|скуфья
Небольшая певчая птичка отряда воробьиных с буроватым оперением, обычно гнездящаяся на земле.|славка
Семейство птиц отряда воробьиных.|славки
Брюки свободного покроя.|слаксы
Скоростной спуск с горы на лыжах по извилистой трассе.|слалом
Соответствующий вид спорта.|слалом
Горная порода, характеризующаяся слоистым строением, способностью расслаиваться.|сланец
Постоянное наблюдение.|слежка
Копия - обычно из гипса - с произведения скульптуры, прикладного искусства и т.п.|слепок
Оттиск получаемый на мягком, вязком материале надавливанием.|слепок
Небольшая червеобразная змея с маленькими недоразвитыми глазами, ведущая роющий образ жизни и обитающая в верхних слоях почвы.|слепун
Небольшой грызун с недоразвитыми глазами, скрытыми под кожей, и зубами, приспособленными для рытья земли.|слепыш
Молодая птица, только что начавшая вылетать из гнезда.|слеток
Густой жирный молочный продукт, получаемый при отстаивании или сепарировании молока.|сливки
Застывший кусок расплавленного и отлитого в определенной форме металла или сплава.|слиток
Кусок самородного золота или серебра.|слиток
Булочка из слоеного теста.|слойка
Жучок с длинным хоботком; долгоносик.|слоник
Занятие служащего.|служба
Прохождение воинского обучения, отбывание воинской повинности.|служба
Учреждения и организации, относящиеся к определенной отрасли производства.|служба
Подсобные помещения, постройки для разных хозяйственных надобностей.|службы
Слуга в монастыре или при архиерее.|служка
Вещество, которым смазывают; мазь, жир.|смазка
Вытопленное нутряное сало (обычно свиное).|смалец
Прекращение жизни, гибель и распад организма.|смерть
Смесь из разных сортов хлопка, шерсти или другого волокнистого вещества, служащая для приготовления различных сортов пряжи.|смеска
Ароматическая смола, употребляющаяся для курений; мирра.|смирна
Мех, шкурка новорожденного ягненка.|смушка
Место, где смыкается.|смычка
Пара однопородных, разного пола гончих собак, подобранных по внешнему виду.|смычок
Разновидность боеприпасов для стрельбы из орудий.|снаряд
Инструмент, приспособление для работы, занятия и т.п.|снаряд
Техническое устройство, аппарат, механизм для производства работ, научных исследований и т.п.|снаряд
Приспособление, устройство для спортивных упражнений.|снаряд
Орудие для рыбной ловли в виде тонкого канатика с укрепленными на коротких поводках крючками.|снасть
Инструмент, приспособление для снаряд.|снасть
Небольшие, плотно скатанные комки снега, которыми бросаются.|снежки
Небольшая рыбка семейства корюшек, обитающая в озерах северной Европы; озерная корюшка.|снеток
Изображение полученное путем фотографирования; фотография.|снимок
Точное воспроизведение копия.|снимок
Текст, помещаемый внизу страницы; подстрочная ссылка, примечание.|сноска
Домашнее животное семейства собачьих, используемое для охраны, охоты и других целей.|собака
Семейство хищных млекопитающих (волк, лисица, песец и т.п.); собачьи.|собаки
Собственный корреспондент.|собкор
Небольшой хищный зверек семейства куньих с черноватым, темно-коричневым или темно-бурым шелковистым пушистым мехом.|соболь
Человек одной с профессии, среды и т.п.|собрат
Крупное государственное сельскохозяйственное предприятие: советское хозяйство (в СССР).|совхоз
Рядовой военнослужащий сухопутных войск.|солдат
Певец, музыкант или танцор, исполняющий сольную партию, соло.|солист
Центральное тело Солнечной системы, звезда, представляющая собою гигантский раскаленный шар, излучающий свет и тепло.|солнце
Свет, тепло, излучаемые центральным телом Солнечной системы.|солнце
Ясная, солнечная погода.|солнце
Почва, образующаяся из солонцов при избытке влаги.|солодь
Сухие стебли злаковых растений, остающиеся после обмолота.|солома
Стебли злаковых растений на корню.|солома
Музыкальное произведение для одного или двух инструментов, состоящее из нескольких различных по характеру и темпу частей, объединенных общим художественным замыслом.|соната
Народный (русский, украинский, белорусский) духовой музыкальный инструмент типа флейты.|сопель
Получаемое из глюкозы бесцветное кристаллическое сладкое вещество, заменяющее сахар для больных диабетом.|сорбит
Дикорастущее растение, засоряющее, заглушающее культурные посевы.|сорняк
Мелкая рыба семейства карповых; плотва.|сорога
Птица семейства вороновых с длинным хвостом и черным с белым оперением, издающая характерные звуки - стрекотание.|сорока
Старинный русский головной убор замужней женщины.|сорока
Сосновый лес.|сосняк
Сосновые бревна, доски.|сосняк
Совокупность отдельных частей, образующих собою целое.|состав
Соединение, смесь, раствор, состоящие из веществ, элементов.|состав
Совокупность людей, из которых состоит коллектив, организация (рассматриваемые с количественной или качественной стороны).|состав
Ряд сцепленных вместе железнодорожных вагонов, подготовленных для отправки или находящихся в рейсе.|состав
Сорт винограда.|сотерн
Офицерский чин в казачьих войсках, соответствовавший чину поручика в пехоте (в Российском государстве до 1917 г.).|сотник
Командир сотни.|сотник
Начальник сотни.|сотник
Формально кажущееся правильным, но ложное по существу умозаключение, основанное на преднамеренно неправильном подборе исходных положений; словесное ухищрение, вводящее в заблуждение.|софизм
Философ из группы древнегреческих просветителей V-IV вв. до н.э., в центре внимания которых стояли вопросы этики, политики, теории познания и которые славились искусством красноречия.|софист
Видимая снизу поверхность архитектурной детали.|соффит
Часть декорации на сцене, изображающая потолок или небо.|соффит
Осветительная арматура с несколькими источниками света в общем рефлекторе.|соффит
Приспособление в карнизе, дающее рассеянный свет от скрытого в нем источника освещения.|соффит
Коллектив людей, характеризующийся общностью социальной, экономической и культурной жизни.|социум
Член одной с организации, общества и т.п.|сочлен
Режущая клинообразная часть сохи культиватора и т.п., предназначенная для взрыхления почвы; лемех.|сошник
Приспособление в сеялке или посадочной машине, с помощью которого производится высеивание семян и высаживание растений.|сошник
Металлическая пластинка у лафета артиллерийского орудия, препятствующая откату орудия в момент выстрела.|сошник
Вертикальная перегородка, разделяющая полость носа на две части.|сошник
Кожаная нашивка, охватывающая носок и подъем сапога.|союзка
Передняя часть заготовки обуви.|союзка
Место соединения спаянных частей; шов.|спайка
Соединение тканей в результате воспалительного процесса, нарушающее работу отдельных органов.|спайка
Многолетнее растение семейства лилейных с листьями в виде чешуек и сильно развитым корневищем.|спаржа
Название древнегреческого государства, жители которого отличались выносливостью и с детства приучались к суровому образу жизни.|спарта
Репетиция хора.|спевка
Совокупность цветовых полос, получающаяся при прохождении светового луча через призму или иную преломляющую среду.|спектр
Совокупность всех значений величины, характеризующей систему или процесс.|спектр
Семенная жидкость, вырабатываемая мужскими половыми железами и содержащая половые клетки.|сперма
Острые приправы к блюдам, маринадам, добавляемые для придания особого вкуса и аромата.|специи
Председатель парламента.|спикер
Председатель палаты общин в Великобритании.|спикер
Слой кожи, получаемый из распиленных вдоль шкур или кож.|спилок
Струнный щипковый клавишный музыкальный инструмент; род клавесина.|спинет
Опора для спины у стульев, диванов, кресел и т.п.|спинка
Часть одежды, покрывающая спину.|спинка
Спинная часть красных рыб в копченом или вяленом виде.|спинка
Кустарниковое растение семейства розовых с белыми, розовыми или красными цветками, собранными в зонтики или метелки; таволга.|спирея
Письменный перечень.|список
Документ, содержащий перечень сведений.|список
Тонкие, обычно деревянные, палочки с головкой, покрытой воспламеняющимся веществом, служащие для добывания огня.|спички
Споротый верх поношенного верхнего платья.|спорок
Образ действий, прием, метод для осуществления, достижения.|способ
Возможность, средство, реальные условия для осуществления.|способ
Бег, гонка, плавание и т.п. на короткие дистанции.|спринт
Состояние резко пониженной жизнедеятельности организма, наступающее у некоторых млекопитающих в неблагоприятное для них время года.|спячка
Вынужденное пребывание на поселении в качестве ссыльного.|ссылка
Указание на в подтверждение или в оправдание.|ссылка
Цитата, выдержка или указание источника, на который ссылаются в основном тексте.|ссылка
Устройство для ссыпания зерна (на мельнице, элеваторе и т.п.).|ссыпка
Место расположения военачальника или его штаба.|ставка
Орган верховного главнокомандования.|ставка
Размер заработной платы; оклад.|ставка
Сумма денег, которую игрок ставит на карту и которую теряет в случае проигрыша (в азартных играх).|ставка
Мера длины в древних системах мер многих народов, равная приблизительно 180 - 200 м (впервые введенная в Вавилоне).|стадий
Ступень, период, этап в развитии имеющие свои качественные особенности.|стадия
Стеклянный сосуд цилиндрической формы, без ручки, служащий для питья.|стакан
Гильза артиллерийского снаряда.|стакан
Название некоторых устройств, деталей и т.п. различного назначения, имеющих цилиндрическую форму.|стакан
Машина для обработки материалов (металла, дерева и т.п.) или для изготовления, производства.|станок
Металлическое основание, на котором укрепляется огнестрельное орудие и размещаются прицельные, поворотные и т.п. механизмы.|станок
Подставка, на которой помещается картина, гравюра или укрепляется скульптура при работе над ними художника, скульптора.|станок
Приспособление, служащее опорой при некоторых учебно-тренировочных занятиях.|станок
Часть декорационной установки, служащая для создания на сцене возвышений, площадок и т.п.|станок
Приспособление, в которое ставят животное (при ковке, лечении и т.п.), чтобы лишить его свободы движений.|станок
